Order State,Department Name,Product Name,Product Price,Order Item Discount,Order Item Quantity,Order Item Total,Order Profit Per Order,Days for shipment (scheduled),Days for shipping (real),Delivery Status
Western Australia,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,15.600000380000001,1,114.3899994,-25.73999977,4,4,Shipping on time
Queensland,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,15.600000380000001,1,114.3899994,9.149999619,4,5,Late delivery
Queensland,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,15.600000380000001,1,114.3899994,10.0699997,4,3,Advance shipping
Queensland,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,15.600000380000001,1,114.3899994,45.75999832,4,5,Late delivery
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,15.600000380000001,1,114.3899994,38.65999985,4,3,Advance shipping
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,15.600000380000001,1,114.3899994,54.90999985,4,3,Advance shipping
Western Australia,Apparel,Summer dresses,215.8200073,25.89999962,1,189.9199982,-11.21000004,4,3,Advance shipping
Victoria,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,7.800000191,1,52.18999863,5.21999979,4,2,Advance shipping
South Australia,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,16.89999962,1,113.0899963,41.04999924,4,5,Late delivery
Western Australia,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,16.89999962,1,113.0899963,29.73999977,4,5,Late delivery
Queensland,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,16.89999962,1,113.0899963,-28.27000046,4,3,Advance shipping
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,16.89999962,1,113.0899963,29.39999962,4,4,Shipping on time
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,16.89999962,1,113.0899963,-90.47000122,4,3,Advance shipping
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,16.89999962,1,113.0899963,38.22000122,4,5,Late delivery
South Australia,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,19.5,1,110.4899979,5.519999981,4,5,Late delivery
Northern Territory,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,19.5,1,110.4899979,-165.7400055,4,6,Late delivery
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,19.5,1,110.4899979,-73.69999695,4,2,Advance shipping
Tasmania,Footwear,Nike Men's Free 5.0+ Running Shoe,99.98999786,4,2,195.9799957,50.95000076,4,3,Advance shipping
Tasmania,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,4.800000191,2,115.1800003,51.83000183,4,3,Advance shipping
Queensland,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,20.39999962,2,99.58000183,22.89999962,4,4,Shipping on time
New South Wales,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,21.60000038,2,98.37999725,26.55999947,4,5,Late delivery
New South Wales,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,4,2,96,-32.93000031,4,4,Shipping on time
New South Wales,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,12,2,88,21.12000084,4,2,Advance shipping
New South Wales,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,10.399999619999999,2,69.58000183,24.35000038,4,2,Advance shipping
Western Australia,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,12,2,67.98000336,16.18000031,4,3,Advance shipping
Tasmania,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,14.399999619999999,2,65.58000183,29.51000023,4,2,Advance shipping
Queensland,Footwear,Nike Men's Free 5.0+ Running Shoe,99.98999786,26,2,173.9799957,54.45999908,4,4,Shipping on time
New South Wales,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,7.199999809,2,72.77999878,-27.87999916,4,4,Shipping on time
Tasmania,Fitness,Smart watch,327.75,13.10999966,1,314.6400146,135.3000031,2,2,Shipping on time
Tasmania,Fitness,Smart watch,327.75,16.38999939,1,311.3599854,38.91999817,4,6,Late delivery
Tasmania,Fitness,Smart watch,327.75,18.03000069,1,309.7200012,108.4000015,4,5,Late delivery
Western Australia,Fitness,Smart watch,327.75,0,1,327.75,95.05000305,4,3,Advance shipping
Western Australia,Fitness,Smart watch,327.75,3.279999971,1,324.4700012,35.68999863,4,2,Advance shipping
Western Australia,Fitness,Smart watch,327.75,6.559999943,1,321.2000122,160.6000061,4,6,Shipping canceled
Western Australia,Fitness,Smart watch,327.75,9.8299999239999991,1,317.9200134,115.4000015,2,5,Late delivery
South Australia,Fitness,Smart watch,327.75,39.33000183,1,288.4200134,61.43000031,1,2,Late delivery
Queensland,Fitness,Smart watch,327.75,49.15999985,1,278.5899963,78,4,6,Late delivery
Queensland,Fitness,Smart watch,327.75,52.43999863,1,275.3099976,24.22999954,4,5,Late delivery
New South Wales,Fitness,Smart watch,327.75,6.559999943,1,321.2000122,8.029999733,2,3,Late delivery
Australian Capital Territory,Fitness,Smart watch,327.75,9.8299999239999991,1,317.9200134,146.2400055,2,2,Shipping on time
Queensland,Fitness,Smart watch,327.75,13.10999966,1,314.6400146,-7.8699998859999996,2,6,Late delivery
Queensland,Fitness,Smart watch,327.75,16.38999939,1,311.3599854,108.9800034,1,2,Late delivery
Queensland,Fitness,Smart watch,327.75,18.03000069,1,309.7200012,58.84999847,2,4,Late delivery
Queensland,Fitness,Smart watch,327.75,22.94000053,1,304.8099976,-502.9299927,4,3,Advance shipping
Queensland,Fitness,Smart watch,327.75,29.5,1,298.25,29.82999992,4,2,Advance shipping
Queensland,Fitness,Smart watch,327.75,32.77999878,1,294.980011,-796.4299927,4,6,Late delivery
Queensland,Fitness,Smart watch,327.75,39.33000183,1,288.4200134,-211.4100037,2,5,Late delivery
South Australia,Fitness,Smart watch,327.75,42.61000061,1,285.1400146,-49.90000153,2,4,Late delivery
South Australia,Fitness,Smart watch,327.75,49.15999985,1,278.5899963,73.26999664,4,3,Advance shipping
Queensland,Fitness,Smart watch,327.75,55.72000122,1,272.0299988,95.20999908,4,6,Late delivery
New South Wales,Fitness,Smart watch,327.75,59,1,268.7600098,53.75,4,5,Shipping canceled
Queensland,Fitness,Smart watch,327.75,65.55000305,1,262.2000122,16.52000046,2,4,Late delivery
New South Wales,Fitness,Smart watch,327.75,16.38999939,1,311.3599854,121.4300003,4,2,Advance shipping
New South Wales,Fitness,Smart watch,327.75,18.03000069,1,309.7200012,99.11000061,4,6,Late delivery
Victoria,Fitness,Smart watch,327.75,22.94000053,1,304.8099976,-91.44000244,4,5,Late delivery
New South Wales,Fitness,Smart watch,327.75,39.33000183,1,288.4200134,138.4400024,4,2,Advance shipping
New South Wales,Fitness,Smart watch,327.75,42.61000061,1,285.1400146,139.7200012,4,6,Late delivery
New South Wales,Fitness,Smart watch,327.75,29.5,1,298.25,63.52999878,2,4,Late delivery
South Australia,Fitness,Smart watch,327.75,49.15999985,1,278.5899963,103.0800018,4,5,Late delivery
South Australia,Fitness,Smart watch,327.75,52.43999863,1,275.3099976,27.53000069,4,4,Shipping on time
South Australia,Fitness,Smart watch,327.75,55.72000122,1,272.0299988,59.84999847,4,3,Advance shipping
Queensland,Fitness,Smart watch,327.75,16.38999939,1,311.3599854,108.9800034,4,4,Shipping on time
New South Wales,Fitness,Smart watch,327.75,32.77999878,1,294.980011,67.83999634,2,5,Late delivery
Western Australia,Fitness,Smart watch,327.75,32.77999878,1,294.980011,25.95999908,4,2,Advance shipping
Western Australia,Fitness,Smart watch,327.75,39.33000183,1,288.4200134,43.25999832,4,6,Late delivery
Western Australia,Fitness,Smart watch,327.75,42.61000061,1,285.1400146,99.80000305,4,5,Shipping canceled
South Australia,Fitness,Smart watch,327.75,9.8299999239999991,1,317.9200134,50.86999893,4,5,Late delivery
South Australia,Fitness,Smart watch,327.75,13.10999966,1,314.6400146,84.94999695,1,2,Late delivery
South Australia,Fitness,Smart watch,327.75,16.38999939,1,311.3599854,77.83999634,1,2,Late delivery
South Australia,Fitness,Smart watch,327.75,18.03000069,1,309.7200012,145.5700073,4,2,Advance shipping
New South Wales,Fitness,Smart watch,327.75,13.10999966,1,314.6400146,35.54999924,1,2,Late delivery
New South Wales,Fitness,Smart watch,327.75,42.61000061,1,285.1400146,142.5700073,4,4,Shipping on time
Australian Capital Territory,Fitness,Smart watch,327.75,13.10999966,1,314.6400146,141.5899963,1,2,Late delivery
Queensland,Fitness,Smart watch,327.75,29.5,1,298.25,29.82999992,4,4,Shipping on time
Western Australia,Fitness,Smart watch,327.75,32.77999878,1,294.980011,126.8399963,4,3,Advance shipping
Victoria,Fitness,Smart watch,327.75,32.77999878,1,294.980011,73.73999786,2,5,Late delivery
Victoria,Fitness,Smart watch,327.75,39.33000183,1,288.4200134,100.9499969,2,4,Late delivery
New South Wales,Fitness,Smart watch,327.75,55.72000122,1,272.0299988,27.200000760000002,0,0,Shipping on time
New South Wales,Fitness,Smart watch,327.75,59,1,268.7600098,72.55999756,4,4,Shipping on time
New South Wales,Fitness,Smart watch,327.75,65.55000305,1,262.2000122,55.06000137,4,3,Advance shipping
South Australia,Footwear,Nike Men's Free 5.0+ Running Shoe,99.98999786,5,5,494.9500122,128.6900024,2,6,Late delivery
New South Wales,Footwear,Nike Men's Free 5.0+ Running Shoe,99.98999786,50,5,449.9599915,-674.9299927,2,5,Late delivery
New South Wales,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,16.5,5,283.4500122,124.7200012,2,4,Late delivery
Victoria,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,10,5,240,84,2,2,Shipping on time
Victoria,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,25.98999977,5,173.9600067,21.73999977,2,2,Shipping on time
New South Wales,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,33.99000168,5,165.9600067,79.66000366,4,5,Late delivery
Victoria,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,62.5,5,187.5,-37.5,4,2,Advance shipping
Western Australia,Footwear,Nike Men's Free 5.0+ Running Shoe,99.98999786,50,5,449.9599915,206.9799957,4,5,Late delivery
New South Wales,Footwear,Nike Men's Free 5.0+ Running Shoe,99.98999786,59.99000168,5,439.9599915,-87.98999786,4,3,Advance shipping
South Australia,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,12,5,287.9500122,-64.79000092,4,3,Advance shipping
New South Wales,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,27,5,272.9500122,68.23999786,4,3,Advance shipping
New South Wales,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,7.5,5,242.5,113.9800034,4,6,Late delivery
South Australia,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,10,5,240,67.19999695,4,2,Advance shipping
Queensland,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,25,5,225,22.5,4,5,Late delivery
Australian Capital Territory,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,29.98999977,5,169.9600067,59.49000168,4,3,Advance shipping
Australian Capital Territory,Outdoors,Bridgestone e6 Straight Distance NFL Carolina,31.98999977,4.800000191,5,155.1499939,37.24000168,4,2,Advance shipping
Queensland,Outdoors,Glove It Imperial Golf Towel,15.98999977,3.200000048,5,76.75,14.57999992,4,3,Advance shipping
New South Wales,Footwear,Nike Men's Free 5.0+ Running Shoe,99.98999786,15,5,484.9500122,140.6399994,4,3,Shipping canceled
Western Australia,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,13.75,5,236.25,79.84999847,4,3,Shipping canceled
Queensland,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,25.98999977,5,173.9600067,57.40999985,4,4,Shipping canceled
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,20.799999239999998,1,109.1900024,27.299999239999998,4,2,Advance shipping
Northern Territory,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,20.799999239999998,1,109.1900024,36.90999985,4,6,Late delivery
Queensland,Apparel,Porcelain crafts,461.480011,78.44999695,1,383.0299988,-27.200000760000002,4,4,Shipping on time
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,22.10000038,1,107.8899994,39.15999985,4,6,Late delivery
Victoria,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,22.10000038,1,107.8899994,-89.87000275,4,6,Late delivery
New South Wales,Apparel,Summer dresses,215.8200073,36.68999863,1,179.1300049,50.15999985,4,2,Advance shipping
Victoria,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,10.80000019,1,49.18999863,13.77000046,4,4,Shipping on time
New South Wales,Apparel,Porcelain crafts,461.480011,83.0699997,1,378.4100037,174.0700073,4,5,Late delivery
Western Australia,Apparel,Men's gala suit,210.8500061,37.95000076,1,172.8999939,44.95000076,4,4,Shipping on time
Victoria,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,23.39999962,1,106.5899963,41.5699997,4,5,Late delivery
Queensland,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,23.39999962,1,106.5899963,22.37999916,4,3,Advance shipping
Tasmania,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,23.39999962,1,106.5899963,30.90999985,4,4,Shipping on time
New South Wales,Apparel,Summer dresses,215.8200073,43.15999985,1,172.6600037,32.79999924,4,5,Late delivery
Victoria,Apparel,Summer dresses,215.8200073,43.15999985,1,172.6600037,32.45999908,4,2,Advance shipping
New South Wales,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,32.5,1,97.48999786,33.15000153,4,6,Late delivery
Tasmania,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,32.5,1,97.48999786,45.8199997,4,3,Advance shipping
Australian Capital Territory,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,32.5,1,97.48999786,27.299999239999998,4,4,Shipping on time
Victoria,Apparel,Summer dresses,215.8200073,53.95999908,1,161.8699951,46.93999863,4,6,Late delivery
New South Wales,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,1,1,49,21.55999947,4,4,Shipping on time
Queensland,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,1,1,49,8.3299999239999991,4,6,Late delivery
Victoria,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,1.5,1,48.5,-38.79999924,4,2,Advance shipping
Queensland,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,1.5,1,48.5,4.03000021,4,6,Late delivery
Western Australia,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,2,1,37.99000168,-27.85000038,4,4,Shipping on time
New South Wales,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,3.5999999049999998,1,36.38999939,-9.100000381,4,5,Late delivery
Tasmania,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,4.5,1,45.5,20.47999954,4,4,Shipping on time
Northern Territory,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,6.5,1,43.5,-113.0999985,4,6,Late delivery
Northern Territory,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,6.5,1,43.5,14.78999996,4,6,Late delivery
New South Wales,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,7.199999809,1,32.79000092,4.099999905,4,3,Advance shipping
New South Wales,Golf,Nike Men's Dri-FIT Victory Golf Polo,50,9,1,41,20.09000015,4,5,Late delivery
Queensland,Outdoors,Lawn mower,532.5800171,0,1,532.5800171,244.9900055,4,2,Advance shipping
Victoria,Outdoors,Titleist Pro V1x Golf Balls,47.99000168,0.479999989,1,47.50999832,22.799999239999998,4,5,Late delivery
Queensland,Outdoors,Team Golf St. Louis Cardinals Putter Grip,24.98999977,1.370000005,1,23.62000084,11.34000015,4,6,Late delivery
New South Wales,Outdoors,Lawn mower,532.5800171,29.29000092,1,503.2900085,241.5800018,4,5,Late delivery
Queensland,Outdoors,Lawn mower,532.5800171,47.93000031,1,484.6499939,169.6300049,4,3,Advance shipping
Victoria,Outdoors,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,3.839999914,1,28.14999962,9.850000381,4,3,Advance shipping
Tasmania,Outdoors,Lawn mower,532.5800171,63.90999985,1,468.6700134,-93.73000336,4,3,Advance shipping
Western Australia,Outdoors,Team Golf New England Patriots Putter Grip,24.98999977,3.25,1,21.73999977,5.650000095,4,5,Late delivery
New South Wales,Outdoors,Lawn mower,532.5800171,85.20999908,1,447.3699951,28.18000031,4,2,Advance shipping
Tasmania,Outdoors,Glove It Women's Imperial Golf Glove,19.98999977,4,1,15.98999977,5.440000057,4,3,Advance shipping
Australian Capital Territory,Outdoors,Glove It Urban Brick Golf Towel,15.98999977,3.200000048,1,12.78999996,3.579999924,4,3,Advance shipping
New South Wales,Fan Shop,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,1,399.980011,50,4,6,Late delivery
Victoria,Golf,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,16,2,63.97999954,15.35999966,4,2,Advance shipping
South Australia,Outdoors,Glove It Women's Imperial Golf Glove,19.98999977,2,2,37.97999954,2.8499999049999998,4,5,Late delivery
New South Wales,Outdoors,Team Golf Tennessee Volunteers Putter Grip,24.98999977,10,2,39.97999954,6.519999981,4,4,Shipping on time
Victoria,Outdoors,Glove It Urban Brick Golf Towel,15.98999977,6.400000095,2,25.57999992,7.0399999619999996,4,4,Shipping on time
Victoria,Footwear,Nike Men's Free 5.0+ Running Shoe,99.98999786,24,2,175.9799957,63.88000107,4,5,Shipping canceled
New South Wales,Fitness,Smart watch,327.75,81.94000244,1,245.8099976,43.02000046,4,2,Advance shipping
New South Wales,Fitness,Smart watch,327.75,9.8299999239999991,1,317.9200134,146.2400055,4,3,Advance shipping
Western Australia,Fitness,Smart watch,327.75,16.38999939,1,311.3599854,149.4499969,2,6,Late delivery
Western Australia,Fitness,Smart watch,327.75,18.03000069,1,309.7200012,86.72000122,2,5,Late delivery
New South Wales,Fitness,Smart watch,327.75,42.61000061,1,285.1400146,-584.539978,4,5,Late delivery
New South Wales,Fitness,Smart watch,327.75,49.15999985,1,278.5899963,136.5099945,4,4,Shipping on time
New South Wales,Fitness,Smart watch,327.75,52.43999863,1,275.3099976,86.16999817,2,3,Late delivery
Queensland,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,11,2,33,2.4800000190000002,4,6,Late delivery
New South Wales,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,11.22000027,3,54.77999878,19.17000008,4,5,Late delivery
Western Australia,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,0.439999998,1,21.55999947,10.77999973,4,4,Shipping on time
New South Wales,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,0.879999995,2,43.11999893,12.93999958,4,2,Advance shipping
Queensland,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,1.75999999,2,42.24000168,19.85000038,4,5,Late delivery
Victoria,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,6.159999847,4,81.83999634,-32.74000168,4,3,Advance shipping
Western Australia,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,0.879999995,1,21.12000084,4.650000095,4,4,Shipping on time
New South Wales,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,2.200000048,2,41.79999924,15.17000008,2,6,Late delivery
Tasmania,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,0,3,66,-54.97999954,4,3,Advance shipping
Western Australia,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,10.56000042,4,77.44000244,25.17000008,4,5,Late delivery
New South Wales,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,11,5,99,29.700000760000002,4,2,Advance shipping
Victoria,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,1.100000024,1,20.89999962,-1.049999952,2,6,Late delivery
Northern Territory,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,1.539999962,1,20.45999908,-4.8699998859999996,2,4,Late delivery
New South Wales,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,11.43999958,4,76.55999756,37.50999832,4,5,Late delivery
Western Australia,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,19.799999239999998,5,90.19999695,32.74000168,4,2,Advance shipping
New South Wales,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,15.84000015,4,72.16000366,17.3199997,4,4,Shipping on time
Queensland,Fitness,Nike Dri-FIT Crew Sock 6 Pack,22,2.200000048,1,19.799999239999998,7.429999828,4,5,Late delivery
Victoria,Apparel,Perfect Fitness Perfect Rip Deck,59.99000168,9.600000381,1,50.38999939,24.19000053,4,5,Late delivery
Victoria,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,23.39999962,1,106.5899963,39.97000122,4,5,Late delivery
Victoria,Apparel,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,26,1,103.9899979,16.950000760000002,4,5,Late delivery
South Australia,Pet Shop,Adult dog supplies,84.40000153,0.839999974,1,83.55999756,12.52999973,4,4,Shipping on time
